"year","country","school_id","student_id","mother_educ","father_educ","gender","computer","internet","math","read","science","stu_wgt","desk","room","dishwasher","television","computer_n","car","book","wealth","escs"
2022,"MEX","48400227",48402664,"ISCED 3B, C","ISCED 3B, C","female","yes","yes",441.243,519.483,482.298,141.7398,NA,"no",NA,"2","1","2","11-25",NA,0.859
2022,"MEX","48400077",48402666,"ISCED 2","ISCED 2","male","no","no",327.009,379.281,387.082,199.2812,NA,"yes",NA,"1","0","0","11-25",NA,-2.7633
2022,"MEX","48400076",48402667,"ISCED 3A","ISCED 3A","female","yes","yes",532.949,495.595,482.194,180.7948,NA,"yes",NA,"1","1","2","101-200",NA,0.7948
2022,"MEX","48400202",48402668,"ISCED 3A","ISCED 2","male","yes","yes",480.411,557.076,515.689,285.1583,NA,"yes",NA,"1","0","1","11-25",NA,-0.5115
2022,"MEX","48400142",48402669,"ISCED 3A","ISCED 2","male","yes","yes",465,423.36,473.135,204.745,NA,"no",NA,"1","1","0","101-200",NA,-0.6451
2022,"MEX","48400068",48402671,"ISCED 3A","ISCED 3A","male","yes","yes",525.726,549.166,541.624,165.2109,NA,"yes",NA,"1","1","1","26-100",NA,0.1112
2022,"MEX","48400181",48402672,"ISCED 3A","ISCED 2","female","no","yes",347.683,391.142,378.799,70.1306,NA,"no",NA,"1","0","1","0-10",NA,-1.2371
2022,"MEX","48400093",48402673,"ISCED 3A","ISCED 3B, C","male","yes","yes",412.511,443.05,474.69,240.0961,NA,"no",NA,"2","0","3+","0-10",NA,0.6265
2022,"MEX","48400216",48402674,"ISCED 3A","ISCED 3A","male","no","yes",430.87,440.51,437.734,116.8226,NA,"yes",NA,"1","1","1","26-100",NA,-0.3644
2022,"MEX","48400035",48402675,"ISCED 3A","ISCED 2","female","yes","yes",321.354,409.981,334.001,239.231,NA,"yes",NA,"2","0","2","11-25",NA,-0.3045
2022,"MEX","48400261",48402676,"ISCED 3A","ISCED 2","female","no","yes",509.362,556.213,565.44,221.6413,NA,"no",NA,"2","0","1","11-25",NA,-1.3146
2022,"MEX","48400008",48402677,"ISCED 3B, C","ISCED 3B, C","male","yes","yes",586.776,550.608,666.64,124.1961,NA,"yes",NA,"2","1","2","101-200",NA,0.9007
2022,"MEX","48400186",48402678,"ISCED 3A","ISCED 2","male","yes","yes",429.809,454.262,452.955,148.8081,NA,"yes",NA,"1","0","2","11-25",NA,-1.1309
